S.no,Gender Name,Category Name,Color Name,SKU,Product Description,Base Price,Shipping Weight,Tax Rate %
1,Male,V Neck T-Shirt | UV34,Red,MVnHs-Rd-3XL,Male V Neck T-Shirt | UV34 Red 3XL,180,270,5
2,Male,Full Sleeve T-Shirt,Red,MRnFs-Rd-XL,Male Full Sleeve T-Shirt Red XL,190,340,5
3,Male,Sleeveless T-Shirt | MS36,Navy Blue,MRnSl-Nb-L,Male Sleeveless T-Shirt | MS36 Navy Blue L,140,190,5
4,Male,Sleeveless T-Shirt | MS36,Maroon,MRnSl-Mn-3XL,Male Sleeveless T-Shirt | MS36 Maroon 3XL,160,240,5
5,Male,V Neck T-Shirt | UV34,Red,MVnHs-Rd-L,Male V Neck T-Shirt | UV34 Red L,160,240,5
6,Male,Full Sleeve T-Shirt,Bottle Green,MRnFs-Gn-3XL,Male Full Sleeve T-Shirt Bottle Green 3XL,230,350,5
7,Male,Full Sleeve T-Shirt,Navy Blue,MRnFs-Nb-XL,Male Full Sleeve T-Shirt Navy Blue XL,190,340,5
8,Male,Raglan T-Shirt | UR37,White Black,MRgFs-WhBk-S,Male Raglan T-Shirt | UR37 White Black S,220,270,5
9,Male,Sleeveless T-Shirt | MS36,White,MRnSl-Wh-XL,Male Sleeveless T-Shirt | MS36 White XL,140,200,5
10,Male,V Neck T-Shirt | UV34,Navy Blue,MVnHs-Nb-3XL,Male V Neck T-Shirt | UV34 Navy Blue 3XL,180,270,5
11,Male,Full Sleeve T-Shirt,Red,MRnFs-Rd-S,Male Full Sleeve T-Shirt Red S,190,340,5
12,Male,Sleeveless T-Shirt | MS36,Black,MRnSl-Bk-L,Male Sleeveless T-Shirt | MS36 Black L,140,190,5
13,Male,Sleeveless T-Shirt | MS36,Navy Blue,MRnSl-Nb-3XL,Male Sleeveless T-Shirt | MS36 Navy Blue 3XL,160,240,5
14,Male,Sleeveless T-Shirt | MS36,Olive Green,MRnSl-OG-XXL,Male Sleeveless T-Shirt | MS36 Olive Green XXL,140,200,5
15,Male,V Neck T-Shirt | UV34,Royal Blue,MVnHs-Rb-L,Male V Neck T-Shirt | UV34 Royal Blue L,160,240,5
16,Male,Standard Crew T-Shirt | US21,Black,MStRnHs-Bk-L,Male Standard Crew T-Shirt | US21 Black L,140,240,5
17,Male,Full Sleeve T-Shirt,Black,MRnFs-Bk-3XL,Male Full Sleeve T-Shirt Black 3XL,230,350,5
18,Male,Full Sleeve T-Shirt,Navy Blue,MRnFs-Nb-S,Male Full Sleeve T-Shirt Navy Blue S,190,340,5
19,Male,Raglan T-Shirt | UR37,Black Charcoal Melange,MRgFs-BkCm-M,Male Raglan T-Shirt | UR37 Black Charcoal Melange M,220,270,5
20,Male,Sleeveless T-Shirt | MS36,Lavender,MRnSl-Lv-S,Male Sleeveless T-Shirt | MS36 Lavender S,140,190,5
21,Male,Full Sleeve T-Shirt,White,MRnFs-Wh-L,Male Full Sleeve T-Shirt White L,190,340,5
22,Male,Full Sleeve T-Shirt,Royal Blue,MRnFs-Rb-M,Male Full Sleeve T-Shirt Royal Blue M,190,340,5
23,Male,Sleeveless T-Shirt | MS36,White,MRnSl-Wh-L,Male Sleeveless T-Shirt | MS36 White L,140,190,5
24,Male,Sleeveless T-Shirt | MS36,Maroon,MRnSl-Mn-XL,Male Sleeveless T-Shirt | MS36 Maroon XL,140,200,5
25,Male,V Neck T-Shirt | UV34,Grey Melange,MVnHs-Gm-L,Male V Neck T-Shirt | UV34 Grey Melange L,160,240,5
26,Male,Standard Crew T-Shirt | US21,White,MStRnHs-Wh-XXL,Male Standard Crew T-Shirt | US21 White XXL,140,240,5
27,Male,Full Sleeve T-Shirt,Black,MRnFs-Bk-M,Male Full Sleeve T-Shirt Black M,190,340,5
28,Male,Full Sleeve T-Shirt,Red,MRnFs-Rd-XXL,Male Full Sleeve T-Shirt Red XXL,190,340,5
29,Male,Sleeveless T-Shirt | MS36,Olive Green,MRnSl-OG-S,Male Sleeveless T-Shirt | MS36 Olive Green S,140,190,5
30,Male,Sleeveless T-Shirt | MS36,Lavender,MRnSl-Lv-4XL,Male Sleeveless T-Shirt | MS36 Lavender 4XL,180,260,5
31,Male,Full Sleeve T-Shirt,White,MRnFs-Wh-XXL,Male Full Sleeve T-Shirt White XXL,190,340,5
32,Male,Full Sleeve T-Shirt,Bottle Green,MRnFs-Gn-L,Male Full Sleeve T-Shirt Bottle Green L,190,340,5
33,Male,Raglan T-Shirt | UR37,White Black,MRgFs-WhBk-XL,Male Raglan T-Shirt | UR37 White Black XL,220,275,5
34,Male,Sleeveless T-Shirt | MS36,Grey Melange,MRnSl-Gm-XXL,Male Sleeveless T-Shirt | MS36 Grey Melange XXL,140,200,5
35,Male,V Neck T-Shirt | UV34,Navy Blue,MVnHs-Nb-L,Male V Neck T-Shirt | UV34 Navy Blue L,160,240,5
36,Male,Standard Crew T-Shirt | US21,White,MStRnHs-Wh-M,Male Standard Crew T-Shirt | US21 White M,140,240,5
37,Male,Full Sleeve T-Shirt,Grey Melange,MRnFs-Gm-XXL,Male Full Sleeve T-Shirt Grey Melange XXL,190,340,5
38,Male,Sleeveless T-Shirt | MS36,Maroon,MRnSl-Mn-S,Male Sleeveless T-Shirt | MS36 Maroon S,140,190,5
39,Male,Sleeveless T-Shirt | MS36,Charcoal Melange,MRnSl-Cm-4XL,Male Sleeveless T-Shirt | MS36 Charcoal Melange 4XL,180,260,5
40,Male,V Neck T-Shirt | UV34,White,MVnHs-Wh-S,Male V Neck T-Shirt | UV34 White S,160,240,5
41,Male,V Neck T-Shirt | UV34,Grey Melange,MVnHs-Gm-XXL,Male V Neck T-Shirt | UV34 Grey Melange XXL,160,240,5
42,Male,Sleeveless T-Shirt | MS36,Navy Blue,MRnSl-Nb-XL,Male Sleeveless T-Shirt | MS36 Navy Blue XL,140,200,5
43,Male,V Neck T-Shirt | UV34,Black,MVnHs-Bk-L,Male V Neck T-Shirt | UV34 Black L,160,240,5
44,Male,Full Sleeve T-Shirt,Maroon,MRnFs-Mn-XL,Male Full Sleeve T-Shirt Maroon XL,190,340,5
45,Male,Sleeveless T-Shirt | MS36,Charcoal Melange,MRnSl-Cm-S,Male Sleeveless T-Shirt | MS36 Charcoal Melange S,140,190,5
46,Male,Sleeveless T-Shirt | MS36,Black,MRnSl-Bk-4XL,Male Sleeveless T-Shirt | MS36 Black 4XL,180,260,5
47,Male,V Neck T-Shirt | UV34,Royal Blue,MVnHs-Rb-XL,Male V Neck T-Shirt | UV34 Royal Blue XL,160,240,5
48,Male,V Neck T-Shirt | UV34,White,MVnHs-Wh-XXL,Male V Neck T-Shirt | UV34 White XXL,160,240,5
49,Male,Full Sleeve T-Shirt,Grey Melange,MRnFs-Gm-XL,Male Full Sleeve T-Shirt Grey Melange XL,190,340,5
50,Male,Raglan T-Shirt | UR37,Black White,MRgFs-BkWh-L,Male Raglan T-Shirt | UR37 Black White L,220,275,5
51,Male,Full Sleeve T-Shirt,Maroon,MRnFs-Mn-S,Male Full Sleeve T-Shirt Maroon S,190,340,5
52,Male,Sleeveless T-Shirt | MS36,Grey Melange,MRnSl-Gm-S,Male Sleeveless T-Shirt | MS36 Grey Melange S,140,190,5
53,Male,Sleeveless T-Shirt | MS36,Olive Green,MRnSl-OG-3XL,Male Sleeveless T-Shirt | MS36 Olive Green 3XL,160,240,5
54,Male,V Neck T-Shirt | UV34,Black,MVnHs-Bk-XL,Male V Neck T-Shirt | UV34 Black XL,160,240,5
55,Male,Full Sleeve T-Shirt,Royal Blue,MRnFs-Rb-3XL,Male Full Sleeve T-Shirt Royal Blue 3XL,230,350,5
56,Male,Full Sleeve T-Shirt,Grey Melange,MRnFs-Gm-S,Male Full Sleeve T-Shirt Grey Melange S,190,340,5
57,Male,Raglan T-Shirt | UR37,White Black,MRgFs-WhBk-M,Male Raglan T-Shirt | UR37 White Black M,220,270,5
58,Male,Sleeveless T-Shirt | MS36,White,MRnSl-Wh-XXL,Male Sleeveless T-Shirt | MS36 White XXL,140,200,5
59,Male,V Neck T-Shirt | UV34,Grey Melange,MVnHs-Gm-3XL,Male V Neck T-Shirt | UV34 Grey Melange 3XL,180,270,5
60,Male,Full Sleeve T-Shirt,Red,MRnFs-Rd-M,Male Full Sleeve T-Shirt Red M,190,340,5
61,Male,Sleeveless T-Shirt | MS36,Navy Blue,MRnSl-Nb-S,Male Sleeveless T-Shirt | MS36 Navy Blue S,140,190,5
